Comentario Original,Ubicacion Encontrada
We had the most amazing experience on the luxury sailing excursion. The crew made sure we had the best time and kept us safe and happy throughout the whole trip. The drinks were plentiful and food and snacks were perfect for a trip on the sea. The boat was beautiful and clean. The whole experience was top notch from pick up to drop off we didnât have to worry about a thing. We will only book excursions from them for all our future trips to Cabo and was honestly the highlight of our vacation. I highly recommend them and this particular excursion.,sea
"The sunset cruise is amazing! Gorgeous views of the ocean, the rocks, and the arch and there are tons of stingrays to see. Tomas, our guide, was very warm and welcoming and had a great sense of humor. I highly recommend this activity. A little word of advice try to be one of the first to board the boat so you can get a seat right up front. We were able to stretch out and lay down which the made the experience much more romantic and relaxing!",sea
"Sea of Cortez (Gulf of. California) Trip

Jun 2023

We enjoyed our day so much! We were impressed by the boat ans the day. The crew was top notch: warm, kind and fun. Food and drinks were available all day. We snorkeled and toured around the islands. It was a fun day for sure and would absolutely recommend it. Note, it is a long day and bus ride. We packed some dry clothes to make it more comfortable.

Crew: Mario, Jorge, Carlo, Joe, Junior","sea, cortez"
"Very fun snorkeling/water sports experience and well priced. Harbor and run out to the arch was beautiful and snorkeling/kayaking/sea scooter were all great. Captain and guide were super accommodating and fun.Went in Feb so the ocean was a little cold. We opted to not wear wetsuits which was fine for me but if you get cold easily, you may want one. Upside is that it was whale season, so we saw humpbacks jumping.They fed us at the end which was an appreciated surprise. Overall very worth it!",sea
"Wonderful experience boating to some of the most beautiful areas. We saw seals, whales, massive tuna, and more. We stopped at Santa Maria Beach to snorkel, paddle board, and relax & leisure. I saw the biggest school of fish in my life at Santa Maria and there must've been 50k fish swarming together. Our crew members Jaros, Cpt. Pablo, Hillary, and Andy were great. They made sure everyone had a great time, they fed us well, and they made amazing drinks for us. We didn't get to sail cause of low winds, but they made up by tracking down some whales nearby so we could whale watch.","beach, sea, santa maria"
"The team here are outstanding! We booked with Oscar and dove with Chalo! Wow! We felt so comfortable with the whole experience. My wife had dove before many times but this was a first for me. We both had such a great experience! We saw lots of different fish, yellow tails, puffer fish, sea lions and much more! It was worth every penny! So much so, weâre already planning our next trip back. See you soon!",sea
Cabo Adventures offers various tours and attractions at a fairly decent price. I took a boating tour of the surrounding beach areas which included a stop to swim in the ocean and lunch and drinks.  Very enjoyable,beach
"My husband and I booked the Whale Watching, Famous Arch, Sea Lions and tour through Cabo Adventures. Our expectations were exceeded! We saw so many whales that were close to our boat...and learned really interesting and fun facts about whales and other sea life! We had such a fun adventure on the large inflatable raft and were even able to hear whale sounds with a hydrophone. The guides were wonderful, we felt very safe, guides were friendly and informative. Razz, provided really great information to us. The captain, Nelson, and photographer, Fernando, were great as well. We only wish our entire family was with us to enjoy this amazing experience! This excursion was the highlight of our Pacific Coastal cruise!",sea
We had a great time on the boat! Emi and team were a fun bunch! The drinks were refreshing and the boat just beautiful. Snorkeling was fun and the water was a great temperature in the sea of Cortez. I liked the ride and scenery the most. ð¤,"sea, cortez"
"We enjoyed the Luxury Sunset cruise, which was 10/10 amazing! Great food, staff, boat! We even saw whales! We also did the snorkel tour! Again a solid 10/10! The tour guide was fantastic and we saw so many fish and sea creatures and stopped for whales on the way back! Would do both again!",sea
