id,Time,Comment,Time_owner,Comment_owner,Score
1,6 days ago,My son and I had an amazing time. Great memories that will last a lifetime. I cannot say enough about this company and how friendly and fun they were on our ATV excursion.   The food was great the drinks were better.  Sitting by the fire afterwards was a nice bonus. This is a must do activity while in Cabo.,a week ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!",5
2,4 weeks ago,"Sailing trip around the point in Cabo.  Sail boat was a lot of fun and the crew was extremely accommodating.The day was crazy windy, so we didn’t do much actual sailing.  Food was decent, the guacamole was top notch and all the drinks you could handle.We sailed out for an hour to a cove that was calm and did snorkeling and paddle boarding.",,,4
3,a month ago,We had the most amazing experience on the luxury sailing excursion. The crew made sure we had the best time and kept us safe and happy throughout the whole trip. The drinks were plentiful and food and snacks were perfect for a trip on the sea. The boat was beautiful and clean. The whole experience was top notch from pick up to drop off we didn’t have to worry about a thing. We will only book excursions from them for all our future trips to Cabo and was honestly the highlight of our vacation. I highly recommend them and this particular excursion.,,,5
4,5 days ago,"I had no idea The Arc was 1/4 mile away from the marina. So, I wasn’t just expecting to go by in and in a big circle. Fairly boring. The crew member named Benjamin on our boat was rude. When I got on the boat I had an empty can of Diet Coke I purchased in the lobby. I asked him if he could throw it away for me when I climbed on the boat. He was reluctant and made a sassy comment about me asking where the trash was and handing it to him. Then, he was irritated when we declined the mimosas because we don’t drink alcohol. When he asked us later if we wanted a drink we asked for water or something without alcohol. But he said they didn’t have anything. So we went 2 hours without a beverage. He was also seemingly intoxicated and checking out the young women in a creepy and inappropriate way. The young lady photographer and the captain seemed great. But this one guy totally diminished the experience for us. I didn’t know I had to get drunk and be drinking to enjoy a sail boat at sunset? Also it is a bit too long. We didn’t need to be on the boat for 2 hours. Not that much to see after The Arc.",,,2
5,2 months ago,"This was such a great experience! So much fun, sun, thrill, excitement and adventure! Our crew was Sebastian, Mickey and I'm so sorry I forgot the name of the boat driver but they all were kind, accommodating and fun. Best excursion we had!!! Oh and yes we saw a whale breaching...so cool 🐋",2 months ago,"Thank you for having taken the time to post your wonderful review of Cabo Adventures and sharing how much you enjoyed our Luxury Day Sailing adventure. We were truly honored to read that everything you experienced was great, including your time with our team members.All of us here at Cabo Adventures look forward to welcoming you back soon.",5
6,a week ago,Not what I expected!  Sunset sail was on a sailboat but no sailing. Drove around for thirty minutes after sunset which was weird! Crew was trying to be nice but were clearly tired!Was told to be ready for a 3:45 pickup at 3:30 actual time 4:00 arrived at the pier at 4:30 left to go to boat at 5:25 two hours of waiting seemed good for them not so good for us.Food and drinks were bad.The positives beautiful sunset and we were on the water.,,,2
7,a month ago,"The sunset cruise is amazing! Gorgeous views of the ocean, the rocks, and the arch and there are tons of stingrays to see. Tomas, our guide, was very warm and welcoming and had a great sense of humor. I highly recommend this activity. A little word of advice� try to be one of the first to board the boat so you can get a seat right up front. We were able to stretch out and lay down which the made the experience much more romantic and relaxing!",,,5
8,2 months ago,"It was so fun! We rode with captain Caesar and had Iris as a guide and Bella (i believe that�s how her name is spelled) as our photographer. All of them were so kind, made sure we were well taken care of, and so funny! The views were gorgeous to say the least! It�s something you have to experience to truly appreciate how lovely it is. The food was great, super tasty and well plated. I�d recommend this snorkeling tour to anyone looking for a good time and good laughs. The boat was extremely clean and nice as well; which is always a plus. If i could give them a 10 star rating i would.",2 months ago,"Dear Lilly,Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!Hasta Pronto!",5
9,a week ago,"Sea of Cortez (Gulf of. California) Trip

Jun 2023

We enjoyed our day so much! We were impressed by the boat ans the day. The crew was top notch: warm, kind and fun. Food and drinks were available all day. We snorkeled and toured around the islands. It was a fun day for sure and would absolutely recommend it. Note, it is a long day and bus ride. We packed some dry clothes to make it more comfortable.

Crew: Mario, Jorge, Carlo, Joe, Junior",,,5
10,2 weeks ago,"My husband and I booked the luxury 2 bay snorkel trip! It was fantastic! Our guide was Leo, he was very helpful and fun! They took such great care of us, including a small breakfast and delicious lunch in our tour!! The bays they took us to were filled with beautiful fish! It was such a fun experience!! Thank you cabo adventures!",a week ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!",5
11,a month ago,"We did the private luxury sailing excursion, it's 4 hours and so worth it.  A couple guides will take you on a nice yacht swing by the arches. Go for a boat ride. Do a little snorkeling and then sail back.   The whole family had a blast on this adventure!!  Ps - open bar too 😉",a month ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
12,4 months ago,"What a great experience! Our guides did everything they could to get us to places where the whales were active, we got lots of great pictures and videos. We were able to get close due to the small speed boat that held 18 people. There was a photographer on board who captured additional shots we could buy at the end if we didn’t get good ones ourselves. We all wore life jackets but felt safe the whole time! Had a blast!!",,,5
13,3 months ago,"Very fun snorkeling/water sports experience and well priced. Harbor and run out to the arch was beautiful and snorkeling/kayaking/sea scooter were all great. Captain and guide were super accommodating and fun.Went in Feb so the ocean was a little cold. We opted to not wear wetsuits which was fine for me but if you get cold easily, you may want one. Upside is that it was whale season, so we saw humpbacks jumping.They fed us at the end which was an appreciated surprise. Overall very worth it!",,,5
14,2 months ago,"Cabo Adventures is a great tour business place to see the Cabo more famous attractions 👏👏👌👍I did all the booking process through Tripadvisor, everything was fairly easy, emails went back and forward. Couple of messages later, the confirmation number was received.Then I received a text message with the confirmation reminder and a phone number to call and confirm again the event.The day of the trip we were received by the boat person in charge. He setup everything and few minutes after the hour we were on our way to the Cabo arc.The guide was so nice and kind, he explained everything and approaches to the important things to see during the tripThank you Cabo Adventures for a great experience 👏👏",,,4
15,6 days ago,"Took my nephew, lady friend and baby brother for some quad riding.... It was fun, they fed us lunch and gave us tequila afterwards.

It would have been nice, however, had they recognized that some of us (me in particular) had extensive riding experience, so when I did slides and doughnuts, I actually knew what I was doing....",,,5
16,2 months ago,"My review won�t do the Cabo Adventure Camel Ride any justice, but I�ll give it a shot. This was by far the most amazing thing I�ve ever gotten to do. The ranch is breathtaking. The staff are beyond kind and helpful. The camels were so sweet and a pure joy to ride. The views of the Pacific are gorgeous. The food was literally the best I ate during my stay in Cabo. The tequila was a great bonus as well. But the best part of the adventure was our guide David. His knowledge was on point and his laughter infectious. By the end of our time together it felt like we were all a group of old friends. Do not hesitate to book with them. I look forward to coming back in the future.",,,5
17,4 months ago,We had a fun whale watching boat trip with acabo Expeditions. The guide and boat captain were excellent. The guide hosted the tour in Spanish and English. We have 2 other trips scheduled with them for later this week. This company is extremely well organized and professional! They have a coffee shop and gift shop inside their building. My only complaint is that they charge $20 per photo for photos their photographer took on the trip. None of them were worth $20 but it�s an optional charge.,4 months ago,"We are glad you liked it and look forward to welcoming you on a future adventure, during your next visit to Los Cabos.",5
18,2 months ago,"Wonderful experience boating to some of the most beautiful areas. We saw seals, whales, massive tuna, and more. We stopped at Santa Maria Beach to snorkel, paddle board, and relax & leisure. I saw the biggest school of fish in my life at Santa Maria and there must've been 50k fish swarming together. Our crew members Jaros, Cpt. Pablo, Hillary, and Andy were great. They made sure everyone had a great time, they fed us well, and they made amazing drinks for us. We didn't get to sail cause of low winds, but they made up by tracking down some whales nearby so we could whale watch.",2 months ago,"Thank you for having taken the time to post your wonderful review of Cabo Adventures and sharing how much you enjoyed our Luxury Day Sailing adventure. We were truly honored to read that everything you experienced was great, including your time with our team members.

All of us here at Cabo Adventures look forward to welcoming you back soon.",5
19,2 months ago,"Well organized tourist excursions, we did the two location snorkeling tour, its a 4 hour tour, you get to see the Arch on the way, good food and drink, our crew was friendly and really helpful.  The lead guide Mario did a great job.",,,4
20,4 months ago,"Great private tour on the camel,
and the ATVs were the best.
My Guide kept me feeling safe,
and I still got some adrenaline rush and beautiful scenery .
we also stopped to watch the whales ?? swimming north with their new babies.
Really Amazing.
Great pictures and memories.
Thanks Again. ??",,,5
21,a year ago,"Paola and her dolphin, Tlatoani, were AMAZING! The experience WITH the dolphin, over all, was AMAZING! The camera lady was AMAZING! The customer service from the front desk lacked something to be desired.  The transportation was almost 30 mins late picking us up from the hotel and they rushed us like it was our fault. Acted like it was a bother to answer our questions. I'd still do the tour again.",a year ago,"Thank you for your comments, we are happy to read you had a wonderful time and will pass along your comments to our team members. We also appreciate you mentioned the opportunity areas you encountered during your visit, your comments will be canalized to the proper area.We look forward to welcoming you back in the near future.",4
22,3 months ago,"The team here are outstanding! We booked with Oscar and dove with Chalo! Wow! We felt so comfortable with the whole experience. My wife had dove before many times but this was a first for me. We both had such a great experience! We saw lots of different fish, yellow tails, puffer fish, sea lions and much more! It was worth every penny! So much so, we’re already planning our next trip back. See you soon!",,,5
23,3 months ago,Great experience! The whales breached right by our boat and we got to see a mother and baby flip up their tails. Lunch was amazing avocado chips and sandwiches. The boat is so big that you don’t notice any real ocean wave sickness either. I would defiantly recommend this excursion to anyone coming to Cabo!,,,5
24,10 months ago,Cabo Adventures offers various tours and attractions at a fairly decent price. I took a boating tour of the surrounding beach areas which included a stop to swim in the ocean and lunch and drinks.  Very enjoyable,10 months ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
25,a month ago,"I took my kids for the Zip Line Adventure while on the Disney Cruise. We had a great time with our guides Ladies, Chai, Lyan, and Gus. The tour has more than just Zip Lines. Including Rock climbing, Rappelling, and a Rope bridge. One of the best Port Adventures that I have done so far. Staff is very friendly and helpful with kids. They were very professional and made sure everyone's Safety was top priority. The pictures were great and when you buy the package you get them uploaded to your phone on the spot so No waiting.Highly recommend this for anyone that wants to have fun on their Vacation. Only regret is that we didn't have time to do the Super Man Zip Line that looked Amazing!",a month ago,Thank you for taking the time to write such a wonderful review about Cabo Adventures.We are delighted to read you enjoyed your adventure and appreciate you mentioning our team members that made your experience more pleasurable.We are looking forward to welcoming you on many more trips!,5
26,2 months ago,"We had such an amazing time on our luxury day of sailing.  Our Captain pueblo was excellent and helped us see the whales.  Photographer Victoria was so pleasant and took fabulous photos.  Our Guide Mario was amazing!! He was entertaining and very knowledgeable, we learned a lot and had so much fun. Great tour, food wonderful, water sports fun, we would do again!",,,5
27,a month ago,Took my mom swimming with the dolphins! What a memory of a lifetime. Memory I’ll never forget with my mother. Eddie was our tour guide and he was phenomenal!!! My mother had a blast. She’s 72 years old and I was surprised she went for a ride with the dolphin too! She had an amazing time. Thank you so much Eddie!,,,5
28,2 months ago,"This place was amazing! i really do recommend. I had a great experience with a great captain Pablo, sailer Mario, and photographer Mickie. I hope you all get a chance to visit it was really fun and a great experience. We went snorkeling and saw fish and on the way there we saw the beautiful Arch also the pretty dolphins put on a show for us and the whales. We also got to sail and that was amazing for it being my first time. Also the captain had a great playlist. They were all gentlemen and Mario had a great personality and kept us all entertained. The food on the boat was good too and also the drinks. Service was great. It�s actually like the pictures lol i know that�s hard to believe but i promise! I hope you all get to go and have a great time just like i did!",,,5
29,2 months ago,"Mario (host), Pablo (vessel captain)and Elvia (photographer) were the best! This was a port adventure from a Disney Cruise, sail and snorkel... but worth it no matter how you find them!  Informative and fun.. I saw more whales on this trip than on any whale watching trip I've ever taken!  And good tunes Mario!!  Lol! Check out lunch!",,,5
30,2 months ago,"I did 2 separate tours. The first one, the Luxery Sunset Sail was perfect. The crew was fun and the boat was full but didn't feel crowded. They had a great photographer that captured tons of pics and it was worth the money to buy the extra pics. The sback tray was perfect for an evening boat ride and the drinks were plentiful.

The whale watching was ok. Unfortunately we only saw a few whales off in the distance and it seemed like we were constantly trying to chase them down only to miss them. The raft was pretty crowded and not near as comfortable.  The pictures were not worth buying because it was too crowded for them to take many individual pics and there were not enough whale sightings either.",,,5
31,5 months ago,"My husband and I booked the Whale Watching, Famous Arch, Sea Lions and tour through Cabo Adventures. Our expectations were exceeded! We saw so many whales that were close to our boat...and learned really interesting and fun facts about whales and other sea life! We had such a fun adventure on the large inflatable raft and were even able to hear whale sounds with a hydrophone. The guides were wonderful, we felt very safe, guides were friendly and informative. Razz, provided really great information to us. The captain, Nelson, and photographer, Fernando, were great as well. We only wish our entire family was with us to enjoy this amazing experience! This excursion was the highlight of our Pacific Coastal cruise!",5 months ago,"We truly appreciate your review!

It�s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!

Sincerely,",5
32,3 months ago,"This was such an incredibly fun experience. Not only was the course insanely cool and fun but what really made this experience just that extra memorable level was the crew of guys that were taking care of us. Ladis I think was our ring leader and he had Mago, Carlos, Arturo, and Hector. These guys were so funny and engaging. They kept us safe and entertained. Also got shout out to the photographer I think his name was Pablo.I would gladly do this again and will recommend this to whoever asks.",,,5
33,2 months ago,Jorge was very informative and gave great information about the camels and the environment. He was patient with all our questions and clearly loves what he does-the food and service at lunch was wonderful! Juan has left a mark with all of us with his gentle nature and Jorge’s way with him. Highly recommend the tour,2 months ago,"Thank you for taking the time to write such a wonderful review about Cabo Adventures. We are delighted to read that you enjoyed your adventure, our delicious Mexican menu, and appreciate your comments regarding our service, our members; Jorge and Juan will be happy to know how much you enjoyed your experience with them.

We look forward to welcoming you back in the near future and creating more unforgettable memories together.",5
34,a month ago,"ATV tour and day sailing.  Both were tons of fun.  The whole operation is first class, organized and customer focused.  Mario on the sailboat and Bic on the ATVs were both excellent.  The pressure  to buy their photos was a little strong but I don't have a problem saying ""no"".",a month ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
35,a month ago,"Took a catamaran 4 hour tour that included snacks, lunch  and snorkeling.  They picked us up at the hotel and dropped us off at the marina dolphin center. They were very courteous and fun to take a trip with. About 3 hours sailing and an hour snorkeling. Fun....",a month ago,"Thank you very much for your visit! If there's anything else we can assist you with, please contact us at info@cabo-adventures.com.",4
36,2 months ago,"My favorite part was when they put the sails up and turned off the music to allow us to hear the quietness as we moved across the water.The staff was friendly and witty, the food was really good (especially liked the pasta salad!), and the boat was pristine and comfortable. I was so glad it was only 16 of us so it was never crowded feeling. I highly recommend this excursion.",,,5
