Subcomentario,roberta_neg,roberta_neu,roberta_pos,Palabra_clave,Mencion_animales
We had the most amazing experience on the luxury sailing excursion,0.0016709126,0.0084433,0.9898858,excursion,
The crew made sure we had the best time and kept us safe and happy throughout the whole trip,0.0019176917,0.026214126,0.97186816,,
The drinks were plentiful and food and snacks were perfect for a trip on the sea,0.0012850359,0.015069238,0.9836457,,
The boat was beautiful and clean,0.0020440181,0.016601782,0.98135424,boat,
The whole experience was top notch from pick up to drop off we didnÃÂ¢ÃÂÃÂt have to worry about a thing,0.0056225937,0.046383675,0.94799376,experience,
We will only book excursions from them for all our future trips to Cabo and was honestly the highlight of our vacation,0.0012023909,0.032229047,0.9665686,excursion,
I highly recommend them and this particular excursion,0.0014771894,0.030588957,0.96793383,excursion,
"The sunset cruise is amazing! Gorgeous views of the ocean, the rocks, and the arch and there are tons of stingrays to see",0.0016618215,0.008889506,0.98944867,view,
"Tomas, our guide, was very warm and welcoming and had a great sense of humor",0.0011374168,0.011319595,0.987543,,
I highly recommend this activity,0.0016474403,0.03530952,0.9630431,,
A little word of adviceÃÂ try to be one of the first to board the boat so you can get a seat right up front,0.027031979,0.7264372,0.2465308,boat,
We were able to stretch out and lay down which the made the experience much more romantic and relaxing!,0.0012393893,0.026677443,0.97208315,experience,
Sea of Cortez (Gulf of,0.050741583,0.8919299,0.057328455,,
"California) Trip

Jun 2023

We enjoyed our day so much! We were impressed by the boat ans the day",0.001473655,0.009647347,0.98887897,boat,
"The crew was top notch: warm, kind and fun",0.0016808481,0.013783236,0.9845359,,
Food and drinks were available all day,0.002063703,0.32044148,0.6774948,,
We snorkeled and toured around the islands,0.009728831,0.64295924,0.34731197,snorkel,
It was a fun day for sure and would absolutely recommend it,0.0018035533,0.008366344,0.9898301,,
"Note, it is a long day and bus ride",0.2854575,0.62722266,0.08731981,,
We packed some dry clothes to make it more comfortable,0.0069967005,0.39632413,0.5966792,,
"Crew: Mario, Jorge, Carlo, Joe, Junior",0.017158639,0.85359347,0.12924783,,
Very fun snorkeling/water sports experience and well priced,0.0015994827,0.01801611,0.9803844,experience,
Harbor and run out to the arch was beautiful and snorkeling/kayaking/sea scooter were all great,0.0012922718,0.010224486,0.98848325,snorkel,
Captain and guide were super accommodating and fun,0.0019472751,0.01771504,0.9803376,,
Went in Feb so the ocean was a little cold,0.21372548,0.6968655,0.08940904,,
"We opted to not wear wetsuits which was fine for me but if you get cold easily, you may want one",0.028621973,0.42949665,0.5418814,,
"Upside is that it was whale season, so we saw humpbacks jumping",0.15174149,0.7634032,0.08485526,,whale
They fed us at the end which was an appreciated surprise,0.0018631456,0.028642971,0.9694939,,
Overall very worth it!,0.0021582393,0.032270737,0.96557105,,
Wonderful experience boating to some of the most beautiful areas,0.0014707725,0.013595251,0.984934,boat,
"We saw seals, whales, massive tuna, and more",0.039808612,0.6883308,0.2718606,,whale
"We stopped at Santa Maria Beach to snorkel, paddle board, and relax & leisure",0.002975788,0.40622014,0.5908041,paddle,
I saw the biggest school of fish in my life at Santa Maria and there must've been 50k fish swarming together,0.005682297,0.1817967,0.812521,,fish
"Our crew members Jaros, Cpt",0.036364477,0.9111192,0.052516308,,
"Pablo, Hillary, and Andy were great",0.0033836907,0.031697173,0.9649191,,
"They made sure everyone had a great time, they fed us well, and they made amazing drinks for us",0.001683242,0.010815166,0.9875016,,
